country,region,group
Finland,North Karelia,
Finland,Northern Ostrobothnia,
Finland,Northern Savonia,
Finland,Ostrobothnia,
Finland,Päijänne Tavastia,
Finland,Pirkanmaa,
Finland,Satakunta,
Finland,South Karelia,
Finland,Southern Ostrobothnia,
Finland,Southern Savonia,
Finland,Southwest Finland,
Finland,Tavastia Proper,
Finland,Uusimaa,
France,Auvergne-Rhône-Alpes,
France,Bourgogne-Franche-Comté,
France,Brittany,
France,Centre-Val de Loire,
France,Corsica,
France,Grand Est,
France,Hauts-de-France,
France,Île-de-France,
France,Normandy,
France,Nouvelle-Aquitaine,
France,Occitanie,
France,Pays de la Loire,
France,Provence-Alpes-Côte d'Azur,
United Kingdom,Aberdeen City,
United Kingdom,Aberdeenshire,
United Kingdom,Angus Council,
United Kingdom,Antrim and Newtownabbey,
United Kingdom,Ards and North Down,
United Kingdom,Argyll and Bute Council,
United Kingdom,"Armagh City, Banbridge and Craigavon",
United Kingdom,Bath and North East Somerset,
United Kingdom,Bedford,
United Kingdom,Belfast,
United Kingdom,Blackburn with Darwen,
United Kingdom,Blackpool,
United Kingdom,Borough of Halton,
United Kingdom,Bracknell Forest,
United Kingdom,Bridgend County Borough,
United Kingdom,Brighton and Hove,
United Kingdom,Bristol City,
United Kingdom,Buckinghamshire,
United Kingdom,Caerphilly County Borough,
United Kingdom,Cambridgeshire,
United Kingdom,Cardiff,
United Kingdom,Carmarthenshire,
United Kingdom,Causeway Coast and Glens,
United Kingdom,Central Bedfordshire,
United Kingdom,Ceredigion,
United Kingdom,Cheshire East,
United Kingdom,Cheshire West and Chester,
United Kingdom,Conwy Principal Area,
United Kingdom,Cornwall,
United Kingdom,County Durham,
United Kingdom,Cumbria,
United Kingdom,Darlington,
United Kingdom,Denbighshire,
United Kingdom,Derby,
United Kingdom,Derbyshire,
United Kingdom,Derry and Strabane,
United Kingdom,Devon,
United Kingdom,Dorset,
United Kingdom,Dumfries and Galloway,
United Kingdom,Dundee City Council,
United Kingdom,East Lothian Council,
United Kingdom,East Renfrewshire Council,
United Kingdom,East Riding of Yorkshire,
United Kingdom,East Sussex,
United Kingdom,Edinburgh,
United Kingdom,Essex,
United Kingdom,Falkirk,
United Kingdom,Fermanagh and Omagh,
United Kingdom,Fife,
United Kingdom,Flintshire,
United Kingdom,Glasgow City,
United Kingdom,Gloucestershire,
United Kingdom,Greater London,
United Kingdom,Greater Manchester,
United Kingdom,Gwynedd,
United Kingdom,Hampshire,
United Kingdom,Hartlepool,
United Kingdom,Herefordshire,
United Kingdom,Hertfordshire,
United Kingdom,Highland Council,
United Kingdom,Inverclyde,
United Kingdom,Isle of Anglesey,
United Kingdom,Isle of Wight,
United Kingdom,Kent,
United Kingdom,Kingston upon Hull,
United Kingdom,Lancashire,
United Kingdom,Leicester,
United Kingdom,Leicestershire,
United Kingdom,Lincolnshire,
United Kingdom,Lisburn and Castlereagh,
United Kingdom,Luton,
United Kingdom,Medway,
United Kingdom,Merseyside,
United Kingdom,Mid and East Antrim,
United Kingdom,Mid Ulster,
United Kingdom,Middlesbrough,
United Kingdom,Midlothian,
United Kingdom,Milton Keynes,
United Kingdom,Monmouthshire,
United Kingdom,Moray,
United Kingdom,Neath Port Talbot Principle Area,
United Kingdom,Newport,
United Kingdom,"Newry, Mourne and Down",
United Kingdom,Norfolk,
United Kingdom,North Ayrshire Council,
United Kingdom,North East Lincolnshire,
United Kingdom,North Lincolnshire,
United Kingdom,North Somerset,
United Kingdom,North Yorkshire,
United Kingdom,Northamptonshire,
United Kingdom,Northumberland,
United Kingdom,Nottingham,
United Kingdom,Nottinghamshire,
United Kingdom,Oxfordshire,
United Kingdom,Pembrokeshire,
United Kingdom,Perth and Kinross,
United Kingdom,Peterborough,
United Kingdom,Plymouth,
United Kingdom,Portsmouth,
United Kingdom,Powys,
United Kingdom,Reading,
United Kingdom,Redcar and Cleveland,
United Kingdom,Renfrewshire,
United Kingdom,Rhondda Cynon Taff,
United Kingdom,Scottish Borders,
United Kingdom,Shropshire,
United Kingdom,Slough,
United Kingdom,Somerset,
United Kingdom,South Ayrshire Council,
United Kingdom,South Gloucestershire,
United Kingdom,South Lanarkshire,
United Kingdom,South Yorkshire,
United Kingdom,Southampton,
United Kingdom,Southend-on-Sea,
United Kingdom,Staffordshire,
United Kingdom,Stirling,
United Kingdom,Stockton-on-Tees,
United Kingdom,Stoke-on-Trent,
United Kingdom,Suffolk,
United Kingdom,Surrey,
United Kingdom,Swansea,
United Kingdom,Swindon,
United Kingdom,Thurrock,
United Kingdom,Torbay,
United Kingdom,Tyne and Wear,
United Kingdom,Vale of Glamorgan,
United Kingdom,Warrington,
United Kingdom,Warwickshire,
United Kingdom,West Berkshire,
United Kingdom,West Dunbartonshire Council,
United Kingdom,West Lothian,
United Kingdom,West Midlands,
United Kingdom,West Sussex,
United Kingdom,West Yorkshire,
United Kingdom,Wiltshire,
United Kingdom,Windsor and Maidenhead,
United Kingdom,Wokingham,
United Kingdom,Worcestershire,
United Kingdom,Wrexham Principal Area,
United Kingdom,York,
Greece,Decentralized Administration of Attica,
Greece,Decentralized Administration of Crete,
Greece,Decentralized Administration of Epirus and Western Macedonia,
Greece,Decentralized Administration of Macedonia and Thrace,
Greece,"Decentralized Administration of Peloponnese, Western Greece and the Ionian",
Greece,Decentralized Administration of the Aegean,
Greece,Decentralized Administration of Thessaly and Central Greece,
Croatia,Bjelovar-Bilogora County,
Croatia,City of Zagreb,
Croatia,Dubrovnik-Neretva County,
Croatia,Istria County,
Croatia,Karlovac County,
Croatia,Osijek-Baranja County,
Croatia,Primorje-Gorski Kotar County,
Croatia,Šibenik-Knin County,
Croatia,Sisak-Moslavina County,
Croatia,Split-Dalmatia County,
Croatia,Varaždin County,
Croatia,Zadar County,
Croatia,Zagreb County,
Hungary,Bács-Kiskun,
Hungary,Baranya,
Hungary,Békés County,
Hungary,Borsod-Abaúj-Zemplén,
Hungary,Budapest,
Hungary,Csongrád,
Hungary,Fejér,
Hungary,Gyor-Moson-Sopron,
Hungary,Hajdú-Bihar,
Hungary,Heves County,
Hungary,Jász-Nagykun-Szolnok,
Hungary,Komárom-Esztergom,
Hungary,Nógrád County,
Hungary,Pest County,
Hungary,Somogy County,
Hungary,Szabolcs-Szatmár-Bereg,
Hungary,Vas County,
Hungary,Veszprém,
Hungary,Zala County,
Ireland,County Carlow,
Ireland,County Cavan,
Ireland,County Clare,
Ireland,County Cork,
Ireland,County Donegal,
Ireland,County Dublin,
Ireland,County Galway,
Ireland,County Kerry,
Ireland,County Kildare,
Ireland,County Kilkenny,
Ireland,County Laois,
Ireland,County Limerick,
Ireland,County Louth,
Ireland,County Mayo,
Ireland,County Meath,
Ireland,County Offaly,
Ireland,County Sligo,
Ireland,County Tipperary,
Ireland,County Waterford,
Ireland,County Westmeath,
Ireland,County Wexford,
Ireland,County Wicklow,
Italy,Abruzzo,
Italy,Aosta,
Italy,Apulia,
Italy,Basilicata,
Italy,Calabria,
Italy,Campania,
Italy,Emilia-Romagna,
Italy,Friuli-Venezia Giulia,
Italy,Lazio,
Italy,Liguria,
Italy,Lombardy,
Italy,Marche,
Italy,Molise,
Italy,Piedmont,
Italy,Sardinia,
Italy,Sicily,
Italy,Trentino-South Tyrol,
Italy,Tuscany,
Italy,Umbria,
Italy,Veneto,
Lithuania,Alytus County,
Lithuania,Kaunas County,
Lithuania,Klaipėda County,
Lithuania,Marijampolė County,
Lithuania,Panevėžys County,
Lithuania,Šiauliai County,
Lithuania,Telšiai County,
Lithuania,Utena County,
Lithuania,Vilnius County,
Netherlands,Drenthe,
Netherlands,Flevoland,
Netherlands,Friesland,
Netherlands,Gelderland,
Netherlands,Groningen,
Netherlands,Limburg,
Netherlands,North Brabant,
Netherlands,North Holland,
Netherlands,Overijssel,
Netherlands,South Holland,
Netherlands,Utrecht,
Netherlands,Zeeland,
Norway,Agder,
Norway,Innlandet,
Norway,Møre og Romsdal,
Norway,Nordland,
Norway,Oslo,
Norway,Rogaland,
Norway,Troms og Finnmark fylke,
Norway,Trøndelag,
Norway,Vestfold og Telemark,
Norway,Vestland,
Norway,Viken,
Poland,Greater Poland Voivodeship,
Poland,Kuyavian-Pomeranian Voivodeship,
Poland,Lesser Poland Voivodeship,
Poland,Łódź Voivodeship,
Poland,Lower Silesian Voivodeship,
Poland,Lublin Voivodeship,
Poland,Lubusz Voivodeship,
Poland,Masovian Voivodeship,
Poland,Opole Voivodeship,
Poland,Podkarpackie Voivodeship,
Poland,Podlaskie Voivodeship,
Poland,Pomeranian Voivodeship,
Poland,Silesian Voivodeship,
Poland,Świętokrzyskie Voivodeship,
Poland,Warmian-Masurian Voivodeship,
Poland,West Pomeranian Voivodeship,
Portugal,Aveiro District,
Portugal,Azores,
Portugal,Braga,
Portugal,Bragança District,
Portugal,Castelo Branco District,
Portugal,Coimbra District,
Portugal,Évora District,
Portugal,Faro District,
Portugal,Guarda District,
Portugal,Leiria District,
Portugal,Lisbon,
Portugal,Madeira,
Portugal,Porto District,
Portugal,Santarém District,
Portugal,Setubal,
Portugal,Viana do Castelo District,
Portugal,Vila Real District,
Portugal,Viseu District,
Romania,Alba County,
Romania,Arad County,
Romania,Argeș County,
Romania,Bacău County,
Romania,Bihor County,
Romania,Bistrița-Năsăud County,
Romania,Botoșani County,
Romania,Brăila County,
Romania,Brașov County,
Romania,Bucharest,
Romania,Buzău County,
Romania,Călărași County,
Romania,Caraș-Severin County,
Romania,Cluj County,
Romania,Constanța County,
Romania,Covasna County,
Romania,Dâmbovița County,
Romania,Dolj County,
Romania,Galați,
Romania,Giurgiu County,
Romania,Gorj County,
Romania,Harghita County,
Romania,Hunedoara County,
Romania,Ialomița County,
Romania,Iași County,
Romania,Ilfov County,
Romania,Maramureș County,
Romania,Mehedinți County,
Romania,Mureș County,
Romania,Neamț County,
Romania,Olt County,
Romania,Prahova,
Romania,Sălaj,
Romania,Satu Mare County,
Romania,Sibiu,
Romania,Suceava County,
Romania,Teleorman County,
Romania,Timiș County,
Romania,Tulcea County,
Romania,Vâlcea County,
Romania,Vaslui County,
Romania,Vrancea County,
Sweden,Blekinge County,
Sweden,Dalarna County,
Sweden,Gavleborg County,
Sweden,Halland County,
Sweden,Jamtland County,
Sweden,Jonkoping County,
Sweden,Kalmar County,
Sweden,Kronoberg County,
Sweden,Norrbotten County,
Sweden,Örebro County,
Sweden,Östergötland County,
Sweden,Skåne County,
Sweden,Södermanland County,
Sweden,Stockholm County,
Sweden,Uppsala County,
Sweden,Varmland County,
Sweden,Västerbotten County,
Sweden,Västernorrland County,
Sweden,Västmanland County,
Sweden,Västra Götaland County,
Slovenia,Administrative unit Maribor,
Slovenia,Celje,
Slovenia,Koper,
Slovenia,Kranj,
Slovenia,Ljubljana,
Slovenia,Metlika,
Slovenia,Velenje,
Ukraine,Ukraine,
Belarus,Belarus,
Serbia,Serbia,
Bosnia and Herzegovina,Bosnia and Herzegovina,
Moldova,Moldova,
