country,date,new_infections,new_infections_smooth,new_deaths,new_deaths_smooth,total_deaths_per_million,traffic_retail,traffic_supermarket,traffic_parks,traffic_transit_stations,traffic_workplaces,traffic_residential
Germany,2020-04-05,5936.0,5595,184.0,136,16.017,-58.0,-13.0,61.0,-47.0,-30.0,8.0
Germany,2020-04-06,3677.0,5441,92.0,139,17.115,-43.0,-6.0,49.0,-49.0,-44.0,15.0
Germany,2020-04-07,3834.0,5330,173.0,146,19.18,-44.0,-2.0,50.0,-50.0,-45.0,16.0
Germany,2020-04-08,4003.0,5123,254.0,161,22.212,-42.0,10.0,57.0,-49.0,-45.0,15.0
Germany,2020-04-09,4974.0,4954,246.0,176,25.148000000000003,-40.0,14.0,37.0,-49.0,-47.0,15.0
Germany,2020-04-10,5323.0,4832,266.0,193,28.323,-80.0,-92.0,72.0,-69.0,-86.0,29.0
Germany,2020-04-11,4133.0,4554,171.0,198,30.364,-56.0,0.0,35.0,-48.0,-29.0,10.0
Germany,2020-04-12,2821.0,4109,129.0,190,31.903000000000002,-63.0,-23.0,59.0,-47.0,-26.0,6.0
Germany,2020-04-13,2537.0,3946,126.0,195,33.407,-81.0,-93.0,29.0,-73.0,-88.0,28.0
Germany,2020-04-14,2082.0,3696,170.0,194,35.436,-45.0,1.0,8.0,-52.0,-45.0,17.0
Germany,2020-04-15,2486.0,3479,285.0,199,38.838,-45.0,-9.0,46.0,-49.0,-44.0,16.0
Germany,2020-04-16,2866.0,3178,315.0,208,42.598,-53.0,-3.0,57.0,-48.0,-43.0,16.0
Germany,2020-04-17,3380.0,2900,299.0,213,46.166000000000004,-55.0,-4.0,49.0,-49.0,-43.0,16.0
Germany,2020-04-18,3609.0,2825,242.0,223,49.055,-65.0,-14.0,35.0,-46.0,-22.0,10.0
Germany,2020-04-19,2458.0,2774,184.0,231,51.251000000000005,-59.0,-7.0,56.0,-44.0,-22.0,7.0
Germany,2020-04-20,1775.0,2665,110.0,229,52.56399999999999,-44.0,-9.0,35.0,-44.0,-36.0,13.0
Germany,2020-04-21,1785.0,2622,194.0,232,54.879,-47.0,-8.0,45.0,-44.0,-35.0,14.0
Germany,2020-04-22,2237.0,2587,281.0,232,58.233000000000004,-46.0,-8.0,60.0,-43.0,-35.0,13.0
Germany,2020-04-23,2352.0,2513,215.0,217,60.799,-47.0,-6.0,58.0,-42.0,-35.0,13.0
Germany,2020-04-24,2337.0,2364,227.0,207,63.50899999999999,-50.0,-7.0,38.0,-46.0,-36.0,14.0
Germany,2020-04-25,2055.0,2142,179.0,198,65.645,-57.0,-10.0,40.0,-41.0,-19.0,9.0
Germany,2020-04-26,1737.0,2039,140.0,192,67.316,-52.0,3.0,78.0,-39.0,-18.0,6.0
Germany,2020-04-27,1018.0,1931,110.0,192,68.62899999999999,-43.0,-13.0,57.0,-41.0,-33.0,12.0
Germany,2020-04-28,1144.0,1840,163.0,187,70.574,-48.0,-10.0,19.0,-43.0,-33.0,13.0
Germany,2020-04-29,1304.0,1706,202.0,176,72.985,-46.0,1.0,12.0,-43.0,-33.0,13.0
Germany,2020-04-30,1478.0,1581,173.0,170,75.05,-34.0,19.0,-8.0,-39.0,-34.0,12.0
Germany,2020-05-01,1639.0,1482,193.0,165,77.354,-82.0,-92.0,17.0,-67.0,-84.0,28.0
Germany,2020-05-02,945.0,1323,94.0,153,78.476,-46.0,3.0,-18.0,-42.0,-20.0,9.0
Germany,2020-05-03,793.0,1188,74.0,144,79.359,-57.0,4.0,43.0,-37.0,-18.0,6.0
Germany,2020-05-04,679.0,1140,43.0,134,79.872,-32.0,-5.0,-1.0,-38.0,-30.0,11.0
Germany,2020-05-05,685.0,1074,139.0,131,81.531,-36.0,-6.0,21.0,-37.0,-29.0,12.0
Germany,2020-05-06,1037.0,1036,165.0,125,83.5,-33.0,-5.0,49.0,-35.0,-28.0,11.0
Germany,2020-05-07,1194.0,996,123.0,118,84.969,-33.0,-3.0,47.0,-35.0,-28.0,11.0
Germany,2020-05-08,1209.0,934,147.0,112,86.723,-36.0,-5.0,60.0,-37.0,-31.0,11.0
Germany,2020-05-09,1251.0,978,103.0,113,87.95200000000001,-40.0,-1.0,61.0,-28.0,-8.0,5.0
Germany,2020-05-10,667.0,960,26.0,106,88.26299999999999,-50.0,9.0,29.0,-33.0,-3.0,4.0
Germany,2020-05-11,357.0,914,22.0,103,88.525,-34.0,-12.0,-23.0,-41.0,-28.0,11.0
Germany,2020-05-12,933.0,949,116.0,100,89.91,-31.0,-4.0,14.0,-35.0,-26.0,11.0
Germany,2020-05-13,798.0,915,101.0,91,91.115,-31.0,-7.0,13.0,-36.0,-26.0,11.0
Germany,2020-05-14,933.0,878,89.0,86,92.178,-29.0,-4.0,20.0,-35.0,-26.0,10.0
Germany,2020-05-15,913.0,836,101.0,79,93.383,-29.0,-3.0,29.0,-35.0,-26.0,10.0
Germany,2020-05-16,620.0,745,57.0,73,94.06299999999999,-35.0,-6.0,53.0,-28.0,-5.0,5.0
Germany,2020-05-17,583.0,733,33.0,74,94.45700000000001,-36.0,16.0,92.0,-25.0,-1.0,3.0
Germany,2020-05-18,342.0,731,21.0,74,94.708,-15.0,-3.0,55.0,-30.0,-26.0,8.0
Germany,2020-05-19,513.0,671,72.0,67,95.56700000000001,-17.0,2.0,63.0,-30.0,-25.0,9.0
Germany,2020-05-20,797.0,671,83.0,65,96.55799999999999,-6.0,34.0,84.0,-25.0,-26.0,6.0
Germany,2020-05-21,745.0,644,57.0,60,97.238,-55.0,-87.0,225.0,-46.0,-81.0,18.0
Germany,2020-05-22,460.0,580,27.0,50,97.56,-19.0,1.0,68.0,-40.0,-51.0,14.0
Germany,2020-05-23,638.0,582,42.0,47,98.06200000000001,-35.0,-9.0,27.0,-35.0,-8.0,7.0
Germany,2020-05-24,431.0,560,31.0,47,98.432,-42.0,3.0,37.0,-31.0,-4.0,3.0
Germany,2020-05-25,289.0,553,10.0,46,98.551,-16.0,-2.0,33.0,-31.0,-27.0,8.0
Germany,2020-05-26,432.0,541,45.0,42,99.088,-18.0,-4.0,73.0,-28.0,-23.0,8.0
Germany,2020-05-27,362.0,479,47.0,37,99.649,-15.0,-3.0,86.0,-27.0,-23.0,7.0
Germany,2020-05-28,353.0,423,62.0,37,100.389,-16.0,2.0,65.0,-27.0,-24.0,8.0
Germany,2020-05-29,741.0,463,39.0,39,100.855,-15.0,6.0,84.0,-25.0,-25.0,7.0
Germany,2020-05-30,738.0,478,39.0,39,101.32,-23.0,4.0,99.0,-17.0,5.0,2.0
Germany,2020-05-31,286.0,457,11.0,36,101.45100000000001,-19.0,32.0,143.0,-13.0,8.0,0.0
Germany,2020-06-01,333.0,463,11.0,36,101.583,-45.0,-86.0,264.0,-42.0,-80.0,16.0
Germany,2020-06-02,213.0,432,11.0,31,101.714,-6.0,15.0,109.0,-22.0,-26.0,6.0
Germany,2020-06-03,342.0,429,29.0,28,102.06,-11.0,1.0,91.0,-24.0,-25.0,7.0
Germany,2020-06-04,394.0,435,30.0,24,102.41799999999999,-20.0,-2.0,12.0,-31.0,-26.0,9.0
Germany,2020-06-05,507.0,401,32.0,23,102.8,-20.0,-2.0,21.0,-32.0,-26.0,9.0
Germany,2020-06-06,407.0,354,33.0,22,103.194,-25.0,-5.0,44.0,-24.0,1.0,4.0
Germany,2020-06-07,301.0,356,22.0,24,103.45700000000001,-31.0,11.0,51.0,-27.0,3.0,3.0
Germany,2020-06-08,214.0,339,6.0,23,103.52799999999999,-8.0,-4.0,67.0,-26.0,-25.0,7.0
Germany,2020-06-09,350.0,359,37.0,27,103.97,-12.0,-2.0,59.0,-27.0,-25.0,8.0
Germany,2020-06-10,318.0,355,18.0,25,104.185,-5.0,16.0,70.0,-24.0,-25.0,6.0
Germany,2020-06-11,555.0,378,26.0,24,104.495,-36.0,-54.0,112.0,-40.0,-59.0,16.0
Germany,2020-06-12,258.0,343,8.0,21,104.59,-8.0,3.0,147.0,-25.0,-37.0,7.0
Germany,2020-06-13,348.0,334,18.0,19,104.805,-26.0,-9.0,97.0,-21.0,4.0,2.0
Germany,2020-06-14,247.0,327,6.0,17,104.87700000000001,-33.0,8.0,34.0,-26.0,5.0,2.0
Germany,2020-06-15,192.0,324,4.0,16,104.925,-10.0,-2.0,63.0,-24.0,-23.0,6.0
Germany,2020-06-16,378.0,328,9.0,12,105.03200000000001,-11.0,0.0,75.0,-22.0,-21.0,6.0
Germany,2020-06-17,345.0,331,30.0,14,105.39,-10.0,-3.0,80.0,-22.0,-21.0,6.0
Germany,2020-06-18,580.0,335,26.0,14,105.7,-12.0,-2.0,67.0,-23.0,-22.0,6.0
Germany,2020-06-19,770.0,408,16.0,15,105.891,-13.0,-1.0,63.0,-23.0,-23.0,6.0
Germany,2020-06-20,601.0,444,10.0,14,106.01100000000001,-20.0,-5.0,85.0,-18.0,7.0,2.0
Germany,2020-06-21,687.0,507,0.0,13,106.01100000000001,-8.0,33.0,123.0,-11.0,15.0,-1.0
Germany,2020-06-22,537.0,556,3.0,13,106.04700000000001,-6.0,-2.0,96.0,-21.0,-23.0,5.0
Germany,2020-06-23,503.0,574,10.0,13,106.166,-6.0,-1.0,129.0,-19.0,-22.0,5.0
Germany,2020-06-24,587.0,609,19.0,12,106.39299999999999,-6.0,-1.0,130.0,-19.0,-20.0,5.0
Germany,2020-06-25,630.0,616,13.0,10,106.54799999999999,-11.0,-1.0,106.0,-21.0,-22.0,5.0
Germany,2020-06-26,477.0,574,21.0,10,106.79899999999999,-14.0,-2.0,114.0,-21.0,-23.0,5.0
Germany,2020-06-27,687.0,586,6.0,10,106.87,-23.0,-6.0,110.0,-16.0,3.0,1.0
Germany,2020-06-28,256.0,525,3.0,10,106.906,-18.0,23.0,72.0,-18.0,10.0,0.0
Germany,2020-06-29,262.0,486,4.0,10,106.954,-3.0,1.0,74.0,-22.0,-23.0,5.0
Germany,2020-06-30,498.0,485,12.0,11,107.09700000000001,0.0,3.0,92.0,-20.0,-22.0,6.0
Germany,2020-07-01,466.0,468,12.0,10,107.24,-2.0,-1.0,85.0,-21.0,-22.0,5.0
Germany,2020-07-02,503.0,449,9.0,9,107.348,-6.0,0.0,69.0,-21.0,-23.0,6.0
Germany,2020-07-03,446.0,445,9.0,7,107.455,-5.0,1.0,99.0,-20.0,-23.0,5.0
Germany,2020-07-04,422.0,407,7.0,8,107.539,-16.0,-5.0,109.0,-12.0,3.0,0.0
Germany,2020-07-05,239.0,405,2.0,7,107.56200000000001,-9.0,27.0,95.0,-12.0,7.0,0.0
Germany,2020-07-06,219.0,399,4.0,7,107.61,-2.0,-1.0,73.0,-22.0,-26.0,5.0
Germany,2020-07-07,390.0,383,8.0,7,107.706,-2.0,-1.0,106.0,-20.0,-25.0,6.0
Germany,2020-07-08,397.0,373,12.0,7,107.84899999999999,-4.0,-3.0,80.0,-23.0,-25.0,6.0
Germany,2020-07-09,442.0,365,12.0,7,107.992,-8.0,-3.0,74.0,-23.0,-26.0,6.0
Germany,2020-07-10,395.0,357,6.0,7,108.064,-11.0,-2.0,74.0,-23.0,-26.0,6.0
Germany,2020-07-11,378.0,351,6.0,7,108.135,-15.0,-6.0,112.0,-11.0,3.0,0.0
Germany,2020-07-12,248.0,352,3.0,7,108.171,3.0,42.0,142.0,-4.0,10.0,-2.0
Germany,2020-07-13,159.0,344,1.0,6,108.18299999999999,0.0,-2.0,132.0,-20.0,-26.0,4.0
Germany,2020-07-14,412.0,347,4.0,6,108.23100000000001,-3.0,-2.0,116.0,-21.0,-26.0,6.0
Germany,2020-07-15,351.0,340,3.0,5,108.26700000000001,-2.0,-1.0,78.0,-23.0,-26.0,6.0
Germany,2020-07-16,534.0,353,7.0,4,108.35,-7.0,-2.0,63.0,-24.0,-27.0,6.0
Germany,2020-07-17,583.0,380,4.0,4,108.398,-6.0,-2.0,108.0,-21.0,-28.0,5.0
Germany,2020-07-18,529.0,402,1.0,3,108.41,-16.0,-7.0,150.0,-6.0,2.0,-1.0
Germany,2020-07-19,202.0,395,1.0,3,108.42200000000001,3.0,40.0,152.0,-3.0,9.0,-3.0
Germany,2020-07-20,249.0,408,2.0,3,108.446,0.0,-1.0,130.0,-22.0,-31.0,5.0
Germany,2020-07-21,522.0,424,4.0,3,108.493,0.0,-2.0,153.0,-21.0,-30.0,5.0
Germany,2020-07-22,454.0,439,5.0,3,108.553,2.0,-3.0,156.0,-21.0,-28.0,5.0
Germany,2020-07-23,569.0,444,6.0,3,108.625,-3.0,-3.0,143.0,-21.0,-29.0,5.0
Germany,2020-07-24,815.0,477,10.0,4,108.744,-8.0,-3.0,123.0,-22.0,-30.0,5.0
Germany,2020-07-25,781.0,513,7.0,5,108.82799999999999,-17.0,-8.0,148.0,-8.0,-1.0,-1.0
Germany,2020-07-26,305.0,527,0.0,4,108.82799999999999,-7.0,30.0,92.0,-10.0,2.0,0.0
Germany,2020-07-27,340.0,540,0.0,4,108.82799999999999,1.0,-1.0,138.0,-22.0,-33.0,5.0
Germany,2020-07-28,633.0,556,4.0,4,108.875,-1.0,-2.0,150.0,-22.0,-32.0,6.0
Germany,2020-07-29,684.0,589,6.0,4,108.947,5.0,-1.0,159.0,-20.0,-32.0,5.0
Germany,2020-07-30,902.0,637,6.0,4,109.01799999999999,1.0,0.0,154.0,-21.0,-33.0,5.0
Germany,2020-07-31,870.0,645,7.0,4,109.102,-6.0,-1.0,161.0,-20.0,-34.0,4.0
Germany,2020-08-01,955.0,669,0.0,3,109.102,-19.0,-8.0,156.0,-6.0,-4.0,-2.0
Germany,2020-08-02,240.0,660,0.0,3,109.102,-5.0,35.0,89.0,-7.0,1.0,-1.0
Germany,2020-08-03,509.0,684,7.0,4,109.186,6.0,2.0,114.0,-21.0,-35.0,5.0
Germany,2020-08-04,879.0,719,8.0,4,109.281,5.0,0.0,143.0,-20.0,-34.0,6.0
Germany,2020-08-05,741.0,728,12.0,5,109.42399999999999,6.0,-2.0,180.0,-19.0,-33.0,4.0
Germany,2020-08-06,1740.0,847,7.0,5,109.508,-2.0,-2.0,163.0,-21.0,-33.0,5.0
Germany,2020-08-07,1164.0,889,8.0,6,109.603,-10.0,-4.0,156.0,-22.0,-34.0,4.0
Germany,2020-08-08,995.0,895,12.0,7,109.74700000000001,-23.0,-10.0,163.0,-10.0,-5.0,-1.0
Germany,2020-08-09,704.0,961,1.0,7,109.758,-9.0,28.0,127.0,-7.0,3.0,-2.0
Germany,2020-08-10,317.0,934,1.0,7,109.77,-1.0,0.0,137.0,-22.0,-34.0,5.0
Germany,2020-08-11,1079.0,962,4.0,6,109.818,-3.0,-2.0,148.0,-22.0,-33.0,6.0
Germany,2020-08-12,1182.0,1025,6.0,5,109.89,-1.0,-2.0,154.0,-20.0,-32.0,5.0
Germany,2020-08-13,1521.0,994,4.0,5,109.93799999999999,-5.0,-2.0,115.0,-21.0,-32.0,5.0
Germany,2020-08-14,1452.0,1035,14.0,6,110.105,-6.0,0.0,107.0,-20.0,-32.0,5.0
Germany,2020-08-15,1339.0,1084,6.0,5,110.176,-20.0,-17.0,132.0,-10.0,-8.0,0.0
Germany,2020-08-16,718.0,1086,0.0,5,110.176,1.0,34.0,139.0,-4.0,4.0,-2.0
Germany,2020-08-17,481.0,1110,1.0,5,110.18799999999999,0.0,1.0,104.0,-19.0,-32.0,4.0
United Kingdom,2020-02-01,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-02,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-03,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-04,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-05,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-06,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-07,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-08,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-09,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-10,4.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-11,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-12,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-13,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-14,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2020-02-15,0.0,0,0.0,0,0.0,-12.0,-7.0,-35.0,-12.0,-4.0,2.0
United Kingdom,2020-02-16,0.0,0,0.0,0,0.0,-7.0,-6.0,-28.0,-7.0,-3.0,1.0
United Kingdom,2020-02-17,0.0,0,0.0,0,0.0,10.0,1.0,24.0,-2.0,-14.0,2.0
United Kingdom,2020-02-18,0.0,0,0.0,0,0.0,7.0,-1.0,20.0,-3.0,-14.0,2.0
United Kingdom,2020-02-19,0.0,0,0.0,0,0.0,6.0,-2.0,8.0,-4.0,-14.0,3.0
United Kingdom,2020-02-20,0.0,0,0.0,0,0.0,5.0,-2.0,4.0,-5.0,-14.0,3.0
United Kingdom,2020-02-21,0.0,0,0.0,0,0.0,5.0,-1.0,10.0,-3.0,-15.0,3.0
United Kingdom,2020-02-22,0.0,0,0.0,0,0.0,-4.0,-2.0,-7.0,-2.0,-2.0,1.0
United Kingdom,2020-02-23,1.0,0,0.0,0,0.0,-1.0,-2.0,-5.0,3.0,-1.0,0.0
United Kingdom,2020-02-24,0.0,0,0.0,0,0.0,-3.0,-1.0,-9.0,-2.0,-2.0,1.0
United Kingdom,2020-02-25,0.0,0,0.0,0,0.0,-1.0,4.0,3.0,1.0,1.0,0.0
United Kingdom,2020-02-26,2.0,0,0.0,0,0.0,1.0,0.0,6.0,-1.0,1.0,0.0
United Kingdom,2020-02-27,5.0,1,0.0,0,0.0,2.0,1.0,8.0,0.0,0.0,0.0
United Kingdom,2020-02-28,4.0,1,0.0,0,0.0,1.0,1.0,-13.0,0.0,-1.0,1.0
United Kingdom,2020-02-29,8.0,2,0.0,0,0.0,1.0,1.0,-14.0,-2.0,0.0,0.0
United Kingdom,2020-03-01,12.0,4,0.0,0,0.0,7.0,2.0,14.0,5.0,1.0,-1.0
United Kingdom,2020-03-02,5.0,5,0.0,0,0.0,4.0,4.0,14.0,0.0,1.0,0.0
United Kingdom,2020-03-03,22.0,8,0.0,0,0.0,2.0,3.0,11.0,-1.0,1.0,0.0
United Kingdom,2020-03-04,40.0,13,0.0,0,0.0,2.0,3.0,2.0,-2.0,1.0,1.0
United Kingdom,2020-03-05,55.0,20,0.0,0,0.0,-1.0,2.0,1.0,-3.0,0.0,1.0
United Kingdom,2020-03-06,56.0,28,0.0,0,0.0,5.0,6.0,22.0,1.0,1.0,0.0
United Kingdom,2020-03-07,51.0,34,1.0,0,0.015,0.0,2.0,7.0,-1.0,1.0,0.0
United Kingdom,2020-03-08,81.0,44,1.0,0,0.028999999999999998,4.0,2.0,15.0,2.0,1.0,-1.0
United Kingdom,2020-03-09,60.0,52,0.0,0,0.028999999999999998,0.0,4.0,4.0,-3.0,0.0,1.0
United Kingdom,2020-03-10,57.0,57,1.0,0,0.044000000000000004,-2.0,5.0,4.0,-4.0,0.0,1.0
United Kingdom,2020-03-11,148.0,72,4.0,1,0.10300000000000001,0.0,5.0,10.0,-6.0,0.0,1.0
United Kingdom,2020-03-12,259.0,101,0.0,1,0.10300000000000001,-1.0,11.0,5.0,-8.0,-1.0,2.0
United Kingdom,2020-03-13,406.0,151,2.0,1,0.133,-2.0,11.0,12.0,-9.0,-4.0,2.0
United Kingdom,2020-03-14,484.0,213,1.0,1,0.147,-10.0,7.0,1.0,-15.0,-2.0,2.0
United Kingdom,2020-03-15,478.0,270,19.0,3,0.42700000000000005,-11.0,7.0,-1.0,-16.0,-4.0,2.0
United Kingdom,2020-03-16,361.0,313,14.0,5,0.633,-3.0,20.0,29.0,-16.0,-9.0,4.0
United Kingdom,2020-03-17,442.0,368,22.0,8,0.9570000000000001,-15.0,21.0,6.0,-27.0,-16.0,7.0
United Kingdom,2020-03-18,611.0,434,17.0,10,1.208,-21.0,22.0,-3.0,-34.0,-23.0,10.0
United Kingdom,2020-03-19,769.0,507,34.0,15,1.709,-21.0,24.0,2.0,-37.0,-27.0,11.0
